Fri Nov 28 00:00:15 CET 2014 --> antoniosalas: OK; alwaysdata: OK
Fri Nov 28 01:00:09 CET 2014 --> antoniosalas: OK; alwaysdata: OK
Fri Nov 28 02:00:10 CET 2014 --> antoniosalas: OK; alwaysdata: OK
Fri Nov 28 03:00:09 CET 2014 --> antoniosalas: OK; alwaysdata: OK
Fri Nov 28 04:00:12 CET 2014 --> antoniosalas: OK; alwaysdata: OK
Fri Nov 28 05:00:10 CET 2014 --> antoniosalas: OK; alwaysdata: OK
Fri Nov 28 06:00:10 CET 2014 --> antoniosalas: OK; alwaysdata: OK
Fri Nov 28 07:00:09 CET 2014 --> antoniosalas: OK; alwaysdata: OK
Fri Nov 28 08:00:11 CET 2014 --> antoniosalas: OK; alwaysdata: OK
Fri Nov 28 09:00:09 CET 2014 --> antoniosalas: OK; alwaysdata: OK
Fri Nov 28 10:00:12 CET 2014 --> antoniosalas: OK; alwaysdata: OK
Fri Nov 28 11:00:10 CET 2014 --> antoniosalas: OK; alwaysdata: OK
Fri Nov 28 12:00:17 CET 2014 --> antoniosalas: OK; alwaysdata: OK
